"","repName","rank","repFamily","repType","cluster","repTranspoType","cluster.sf"
"354","THE1B-int",309,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"222","MER41C",310,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"155","LTR1D",311,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"129","L1PA8A",312,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"220","MER41A",313,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"323","MLT2A2",314,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"234","MER4A1",315,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"154","LTR1B",316,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"293","MLT-int",317,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterII"
"243","MER51A",318,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"278","MER85",319,"PiggyBac","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"342","PABL_A",320,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"322","MLT2A1",321,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"352","THE1A-int",322,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"353","THE1B",323,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"183","MADE1",324,"TcMar-Mariner","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"143","LTR1",325,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"181","LTR9",326,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"257","MER61A",327,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"244","MER51B",328,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"182","LTR9B",329,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"351","THE1A",330,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"128","L1PA8",331,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"127","L1PA7",332,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"109","L1P2",333,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"7","AluSx",334,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"144","LTR10C",335,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"147","LTR12_",336,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"3","AluSc",337,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"6","AluSq",338,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"126","L1PA6",339,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"145","LTR10F",340,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"4","AluSg",341,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"153","LTR17",342,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"5","AluSp",343,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"125","L1PA5",344,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"108","L1P1",345,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"196","MER11A",346,"ERVK","LTR","ClusterII","Retrotransposon","ClusterI"
"178","LTR7B",347,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"156","LTR2",348,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"146","LTR12",349,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"124","L1PA4",350,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"198","MER11C",351,"ERVK","LTR","ClusterII","Retrotransposon","ClusterI"
"345","SVA_A",352,"Other","non-LTR","ClusterII","Retrotransposon","ClusterII"
"123","L1PA3",353,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"173","LTR5_Hs",354,"ERVK","LTR","ClusterII","Retrotransposon","ClusterII"
"8","AluY",355,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"148","LTR12C",356,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"197","MER11B",357,"ERVK","LTR","ClusterII","Retrotransposon","ClusterI"
"41","FRAM",358,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"13","AluYd8",359,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"346","SVA_B",360,"Other","non-LTR","ClusterII","Retrotransposon","ClusterI"
"347","SVA_C",361,"Other","non-LTR","ClusterII","Retrotransposon","ClusterI"
"348","SVA_D",362,"Other","non-LTR","ClusterII","Retrotransposon","ClusterII"
"122","L1PA2",363,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"349","SVA_E",364,"Other","non-LTR","ClusterII","Retrotransposon","ClusterII"
"350","SVA_F",365,"Other","non-LTR","ClusterII","Retrotransposon","ClusterII"
"48","L1HS",366,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"177","LTR7",367,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"14","AluYg6",368,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterI"
"9","AluYa5",369,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterI"
"11","AluYb8",370,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterI"
"12","AluYb9",371,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"10","AluYa8",372,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
